TargetWord|Meaning|IPA|Part_of_Speech|Gender|Morphology|Nuance|ContextSentences|ContextTranslation|Etymology|Mnemonic|Analogues|Image|Tags
werfen|Кидати. З силою переміщувати об'єкт у просторі.|/ˈvɛʁfn̩/|Verb|none|Pres: wirft, Past: warf, Perf: hat geworfen|Також ідіоматично: *einen Blick werfen* (кинути оком, поглянути).|1. Wer kann den Ball am weitesten <b>werfen</b>?<br>2. Sie hat ihn aus der Wohnung <b>geworfen</b>.<br>3. Bitte nicht <b>werfen</b>!|1. Хто може кинути м'яч найдалі?<br>2. Вона викинула його з квартири.<br>3. Будь ласка, не кидати!|Спільне германське коріння з *warping* (викривлення) — ідея обертального руху при кидку.|*Верф* (*Werf-*) будує кораблі, щоб *кинути* їх у море.|EN: Throw<br>DE: Schmeißen<br>RU: Бросать<br>UA: Кидати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20hand%20throwing%20ball?width=320&height=200&nologo=true">|DE A2 Action
sich erholen|Відпочивати, одужувати. Відновлювати сили або здоров'я.|/ziːç ɛɐ̯ˈhoːlən/|Verb|none|Pres: erholt sich, Past: erholte sich, Perf: hat sich erholt|Використовується як після хвороби, так і після важкого робочого дня.|1. Du musst dich im Urlaub gut <b>erholen</b>.<br>2. Hat er sich von der Grippe <b>erholt</b>?<br>3. Die Wirtschaft <b>erholt</b> sich langsam.|1. Ти мусиш добре відпочити (відновитися) у відпустці.<br>2. Він одужав від грипу?<br>3. Економіка повільно відновлюється.|*Er-* (підсилення) + *holen* (брати, діставати). Первісно: «повернути собі свій колишній стан».|Я хочу *хол* (*-hol-*) у готелі, щоб там *відпочити* (*erholen*).|EN: Recover / Rest<br>DE: Ausruhen / Genesen<br>RU: Отдыхать / Поправляться<br>UA: Відпочивати / Одужувати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20person%20relaxing%20hammock?width=320&height=200&nologo=true">|DE B1 Health Vacation
steigen|Підніматися, зростати, лізти. Рух вгору (або вниз з *ab-*).|/ˈʃtaɪ̯ɡn̩/|Verb|none|Pres: steigt, Past: stieg, Perf: ist gestiegen|Використовується для цін, температур, а також для посадки в транспорт (*einsteigen*).|1. Die Preise <b>steigen</b> immer weiter.<br>2. Er ist auf den Baum <b>gestiegen</b>.<br>3. Das Fieber <b>steigt</b>.|1. Ціни продовжують зростати.<br>2. Він виліз на дерево.<br>3. Температура (гарячка) піднімається.|Споріднене з грецьким *steichein* (йти). Основа для слова *Steg* (стежка, місток).|На *стіг* (*stieg*) сіна треба *лізти* (*steigen*).|EN: Climb / Rise<br>DE: Klettern / Zunehmen<br>RU: Подниматься<br>UA: Підніматися|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20graph%20arrow%20going%20up?width=320&height=200&nologo=true">|DE A2 Action Economics
Ferien verbringen|Проводити канікули. Стала фраза для опису відпустки.|/ˈfeːʁiən fɛɐ̯ˈbʁɪŋən/|Phrase|none|-|*Ferien* (канікули) — слово у множині. *Verbringen* — проводити (час).|1. Wo wirst du deine <b>Ferien verbringen</b>?<br>2. Wir haben die <b>Ferien</b> in Spanien <b>verbracht</b>.<br>3. Ich möchte meine <b>Ferien</b> zu Hause <b>verbringen</b>.|1. Де ти будеш проводити канікули?<br>2. Ми провели канікули в Іспанії.<br>3. Я хочу провести канікули вдома.|*Ferien* походить від латинського *feriae* (святкові дні). *Verbringen* = *ver-* (про-) + *bringen* (нести/приносити).|*Фері* (*Feri-*, фея) допоможе *провести* (*verbringen*) час чудово.|EN: Spend holidays<br>DE: Urlaub machen<br>RU: Проводить каникулы<br>UA: Проводити канікули|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20suitcase%20beach%20umbrella?width=320&height=200&nologo=true">|DE A2 Travel Phrase
rennen|Бігти, мчати. Швидкий біг (швидше, ніж *laufen*).|/ˈʁɛnən/|Verb|none|Pres: rennt, Past: rannte, Perf: ist gerannt|*Laufen* може означати просто "ходити" або "бігати підтюпцем", *rennen* — це спринт або поспіх.|1. Wir müssen <b>rennen</b>, um den Bus zu kriegen.<br>2. Warum <b>rennst</b> du so?<br>3. Er ist gegen die Tür <b>gerannt</b>.|1. Ми мусимо бігти, щоб встигнути на автобус.<br>2. Чому ти так біжиш (мчиш)?<br>3. Він врізався (набіг) у двері.|Давньоверхньонімецьке *rennan* (змусити текти/рухатися). Споріднене з *Rhein* (Рейн - течія).|*Рен*тген (*Renn-*) покаже, чи можна тобі *бігати* (*rennen*).|EN: Run / Race<br>DE: Laufen (schnell)<br>RU: Бежать / Мчаться<br>UA: Бігти|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20person%20sprinting%20fast?width=320&height=200&nologo=true">|DE A2 Action
sich befinden|Знаходитися, перебувати. Офіційне або письмове позначення місцезнаходження.|/zɪç bəˈfɪndn̩/|Verb|none|Pres: befindet sich, Past: befand sich, Perf: hat sich befunden|Більш формальний синонім до *sein* (бути десь).|1. Das Büro <b>befindet sich</b> im zweiten Stock.<br>2. Wir <b>befinden uns</b> in einer schwierigen Lage.<br>3. Wo <b>befindet sich</b> der Ausgang?|1. Офіс знаходиться на другому поверсі.<br>2. Ми перебуваємо у складному становищі.<br>3. Де знаходиться вихід?|*Be-* + *finden* (знаходити). "Знаходити себе десь".|Я себе *знайшов* (*finden*) тут, отже я тут *знаходжуся* (*befinden*).|EN: To be located<br>DE: Sein / Liegen<br>RU: Находиться<br>UA: Знаходитися|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20pin%20on%20map%20location?width=320&height=200&nologo=true">|DE B1 Location Formal
der Eimer|Відро. Ємність для рідини або сміття.|/ˈaɪ̯mɐ/|Noun|der|Pl: -|*Im Eimer sein* = бути зіпсованим/зламаним (розм. "накритися мідним тазом").|1. Der <b>Eimer</b> ist voll Wasser.<br>2. Wirf das in den <b>Mülleimer</b>.<br>3. Mein Handy ist <b>im Eimer</b>.|1. Відро повне води.<br>2. Кинь це у сміттєве відро.<br>3. Мій телефон "накрився" (зламаний).|Від давнього *eimbar* -> *ein* (один) + *ber* (від *bären* - нести). Тобто "те, що носять в одній руці" (амфора з однією ручкою).|*Ай* (*Ei-*), мама, я розлив *відро* (*Eimer*)!|EN: Bucket<br>DE: Kübel<br>RU: Ведро<br>UA: Відро|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20plastic%20bucket%20water?width=320&height=200&nologo=true">|DE A2 Household
verzeihen|Пробачати. Вибачати комусь провину.|/fɛɐ̯ˈt͡saɪ̯ən/|Verb|none|Pres: verzeiht, Past: verzieh, Perf: hat verziehen|Вимагає датива (кому?): *Mir verzeihen*. Більш глибоке, ніж *entschuldigen*.|1. Kannst du mir <b>verzeihen</b>?<br>2. Ich <b>verzeihe</b> dir deinen Fehler.<br>3. Das ist nicht zu <b>verzeihen</b>.|1. Ти можеш мені пробачити?<br>2. Я пробачаю тобі твою помилку.<br>3. Це неможливо пробачити.|Походить від *ver-* (вказує на відмову/завершення) + *zeihen* (звинувачувати, старе слово). Тобто "перестати звинувачувати".|*Цай* (*zei-*) - це час. Дай час, щоб *пробачити*.|EN: Forgive<br>DE: Entschuldigen<br>RU: Прощать<br>UA: Пробачати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20shaking%20hands%20peace%20heart?width=320&height=200&nologo=true">|DE B1 Emotion
jawohl|Так точно! Слухаюсь! Підсилене ствердження.|/jaˈvoːl/|Particle|none|-|Часто використовується у військовому контексті або як жартівливо-слухняна відповідь.|1. <b>Jawohl</b>, Chef!<br>2. <b>Jawohl</b>, das stimmt!<br>3. Haben Sie das verstanden? - <b>Jawohl</b>!|1. Так точно, шеф!<br>2. Так, безперечно, це правда!<br>3. Ви це зрозуміли? - Так точно!|*Ja* (так) + *wohl* (добре). "Так, (це) добре".|Я *волію* (*wohl*) сказати "Так точно!".|EN: Yes sir / Certainly<br>DE: Zu Befehl / Sicher<br>RU: Так точно<br>UA: Так точно|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20soldier%20saluting?width=320&height=200&nologo=true">|DE A2 Military Confirmation
Gern geschehen|Нема за що. Ввічлива відповідь на подяку.|/ɡɛʁn ɡəˈʃeːən/|Phrase|none|-|Скорочення від "Es ist gern geschehen" (Це сталося охоче/із задоволенням).|1. Danke für die Hilfe! - <b>Gern geschehen</b>.<br>2. Das ist doch <b>gern geschehen</b>.<br>3. Vielen Dank! - <b>Gern geschehen</b>!|1. Дякую за допомогу! - Нема за що.<br>2. Та це ж з радістю зроблено.<br>3. Велике дякую! - Прошу! (З радістю).|*Gern* (охоче) + *geschehen* (статися, дієприкметник).|*Гер* (*Ger-*) зробив це *охоче*.|EN: You're welcome<br>DE: Bitte sehr / Kein Ursache<br>RU: Не за что<br>UA: Нема за що|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20smiley%20face%20hands%20open?width=320&height=200&nologo=true">|DE A1 Phrase Politeness
vergleichen|Порівнювати. Знаходити схожість або відмінність між об'єктами.|/fɛɐ̯ˈɡlaɪ̯çn̩/|Verb|none|Pres: vergleicht, Past: verglich, Perf: hat verglichen|*Vergleichbar* - порівнюваний.|1. Man kann Äpfel nicht mit Birnen <b>vergleichen</b>.<br>2. <b>Vergleichen</b> Sie die Preise.<br>3. Er <b>vergleicht</b> sich immer mit anderen.|1. Не можна порівнювати яблука з грушами.<br>2. Порівняйте ціни.<br>3. Він завжди порівнює себе з іншими.|*Ver-* + *gleich* (рівний/однаковий). "Робити рівним" або "перевіряти на рівність".|Щоб *порівняти*, треба подивитися, чи вони *гляйх* (*gleich* - рівні).|EN: Compare<br>DE: Gegenüberstellen<br>RU: Сравнивать<br>UA: Порівнювати|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20scales%20weighing%20two%20objects?width=320&height=200&nologo=true">|DE A2 Action Logic
Prominente|Знаменитості (або знаменитість). Відомі люди (Input: Prominente).|/pʁomiˈnɛntə/|Noun|die|Pl: Prominente, Masc: der Prominente|Субстантивований прикметник (від *prominent* - видатний). Відмінюється як прикметник.|1. Viele <b>Prominente</b> waren auf der Party.<br>2. Er ist ein bekannter <b>Prominenter</b>.<br>3. Das Magazin berichtet über <b>Prominente</b>.|1. Багато знаменитостей були на вечірці.<br>2. Він відома знаменитість.<br>3. Журнал розповідає про знаменитостей.|Від латинського *prominere* (виступати вперед, видаватися). Той, хто "виділяється" з натовпу.|*Промінь* (*Promin-*) слави падає на них.|EN: Celebrities<br>DE: Stars / VIPs<br>RU: Знаменитости<br>UA: Знаменитості|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20red%20carpet%20star%20celebrity?width=320&height=200&nologo=true">|DE B1 Society Media
der Rückblick|Погляд назад, огляд (подій), ретроспектива.|/ˈʁʏkˌblɪk/|Noun|der|Pl: -e|Часто використовується в кінці року (*Jahresrückblick*).|1. Ein kurzer <b>Rückblick</b> auf das letzte Jahr.<br>2. Im <b>Rückblick</b> war es eine schöne Zeit.<br>3. Der <b>Rückblick</b> zeigte alle Highlights.|1. Короткий огляд минулого року.<br>2. Озираючись назад, це був гарний час.<br>3. Огляд показав усі найкращі моменти.|*Rück-* (назад, від *Rücken* - спина) + *Blick* (погляд).|Кинути *блік* (*Blick*) через *рюк*зак (*Rück-* - спину) назад.|EN: Review / Retrospect<br>DE: Review / Nachschau<br>RU: Обзор / Взгляд назад<br>UA: Огляд / Погляд назад|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20person%20looking%20back%20timeline?width=320&height=200&nologo=true">|DE B2 Time Abstract
wahnsinnig|Божевільний, шалений. Дуже сильний (емоційно) або психічно хворий.|/ˈvaːnˌzɪnɪç/|Adjective|none|-|Часто вживається як підсилювач: *wahnsinnig gut* (шалено добре).|1. Das ist ja <b>wahnsinnig</b> teuer!<br>2. Du machst mich <b>wahnsinnig</b>.<br>3. Er hatte eine <b>wahnsinnige</b> Idee.|1. Це ж шалено дорого!<br>2. Ти зводиш мене з розуму.<br>3. У нього була божевільна ідея.|*Wahn* (ілюзія, марення) + *Sinn* (розум, чуття). "Той, чий розум у маренні".|Ванна (*Wahn-*) наповнена *синім* (*sinn-*) джином - це *божевілля*.|EN: Insane / Crazy<br>DE: Verrückt<br>RU: Безумный<br>UA: Божевільний|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20spiral%20eyes%20crazy%20face?width=320&height=200&nologo=true">|DE B1 Emotion
der Strumpf|Панчоха, шкарпетка (довга). Одяг для ніг.|/ʃtʁʊmpf/|Noun|der|Pl: Strümpfe|Зараз частіше *Socke* для коротких шкарпеток, а *Strumpf* для довгих або теплих (і Різдвяних). *Strumpfhose* = колготки.|1. Da ist ein Loch im <b>Strumpf</b>.<br>2. Sie strickt warme <b>Strümpfe</b>.<br>3. Der Nikolaus füllt den <b>Strumpf</b>.|1. У панчосі дірка.<br>2. Вона в'яже теплі панчохи.<br>3. Миколай наповнює панчоху.|Спочатку означало "обрубок", "стовбур" (споріднене з *Stumpf*). Пізніше стало означати одяг, що облягає ногу (як стовбур).|*Штру*дель (*Stru-*) сховали у *панчоху*.|EN: Stocking / Sock<br>DE: Socke<br>RU: Чулок<br>UA: Панчоха|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20christmas%20stocking%20sock?width=320&height=200&nologo=true">|DE A2 Clothing
der Kranz|Вінок. Кільце з квітів або листя.|/kʁant͡s/|Noun|der|Pl: Kränze|*Adventskranz* — різдвяний вінок.|1. Sie legten einen <b>Kranz</b> am Denkmal nieder.<br>2. Ein <b>Kranz</b> aus Blumen.<br>3. Wir zünden die Kerzen am <b>Kranz</b> an.|1. Вони поклали вінок біля пам'ятника.<br>2. Вінок з квітів.<br>3. Ми запалюємо свічки на вінку.|Споріднене з *Ring* (кільце) і *Krone* (корона).|*Кран* (*Kran-*) піднімає великий *вінок* на дах.|EN: Wreath<br>DE: Gebinde<br>RU: Венок<br>UA: Вінок|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20flower%20wreath%20circle?width=320&height=200&nologo=true">|DE B1 Culture Nature
der Zettel|Записка, клаптик паперу, етикетка. Маленький папірець з інформацією.|/ˈt͡sɛtl̩/|Noun|der|Pl: -|*Spickzettel* = шпаргалка.|1. Schreib es auf einen <b>Zettel</b>.<br>2. Ich habe den <b>Zettel</b> verloren.<br>3. Am Kleid hängt noch der <b>Zettel</b> (Preis).|1. Запиши це на папірці.<br>2. Я загубив записку.<br>3. На сукні ще висить етикетка.|Походить від *schedula* (маленький лист паперу). Споріднене з англійським *schedule* (розклад). В українській мові є діалектизм "цетлик" (етикетка).|Це ж *цетлик* (*Zettel*) - етикетка або записка.|EN: Note / Slip of paper<br>DE: Notiz<br>RU: Записка<br>UA: Записка / Цетлик|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20sticky%20note%20paper?width=320&height=200&nologo=true">|DE A2 Office Everyday
die Mappe|Папка. Обкладинка для зберігання паперів або шкільний портфель (ранцева сумка).|/ˈmapə/|Noun|die|Pl: -n|*Bewerbungsmappe* — папка з документами для прийому на роботу.|1. Tu die Blätter in die <b>Mappe</b>.<br>2. Er hat seine <b>Mappe</b> vergessen.<br>3. Eine <b>Mappe</b> für Zeichnungen.|1. Поклади аркуші в папку.<br>2. Він забув свою папку (портфель).<br>3. Папка для малюнків.|Від латинського *mappa* (серветка, тканина). Спочатку документи загортали в тканину.|*Мапа* (карта) лежить у *мапі* (папці).|EN: Folder / Portfolio<br>DE: Ordner / Hefter<br>RU: Папка<br>UA: Папка|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20file%20folder%20closed?width=320&height=200&nologo=true">|DE A2 Office School
der Haken|Гачок; (перен.) підступ, проблема. Металевий загин.|/ˈhaːkn̩/|Noun|der|Pl: -|Фраза: *Die Sache hat einen Haken* (Тут є якийсь підступ).|1. Häng den Mantel an den <b>Haken</b>.<br>2. Die Sache hat einen <b>Haken</b>.<br>3. Mach einen <b>Haken</b> dran (відміть галочкою).|1. Повісь пальто на гачок.<br>2. Тут є підступ (проблема).<br>3. Постав галочку (відміть як зроблене).|Германське походження, означає «зігнутий». Споріднене з «гак».|Капітан *Гак* (*Haken*) має гачок замість руки.|EN: Hook / Catch (hidden problem)<br>DE: Hängvorrichtung / Problem<br>RU: Крючок / Подвох<br>UA: Гачок / Підступ|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20metal%20hook%20question%20mark?width=320&height=200&nologo=true">|DE B1 Household Idiom
die Lebensmittel|Продукти харчування. Їжа та напої, необхідні для життя.|/ˈleːbənsˌmɪtl̩/|Noun|die|Sg: das Lebensmittel (рідко)|Слово зазвичай вживається у множині.|1. Wir müssen <b>Lebensmittel</b> kaufen.<br>2. Die Preise für <b>Lebensmittel</b> steigen.<br>3. <b>Lebensmittel</b> bitte kühl lagern.|1. Ми мусимо купити продукти.<br>2. Ціни на продукти зростають.<br>3. Продукти зберігати в прохолодному місці.|*Leben* (життя) + *Mittel* (засіб). Засоби для життя.|Засоби (*Mittel*) для *життя* (*Lebens*).|EN: Groceries / Food<br>DE: Nahrungsmittel<br>RU: Продукты<br>UA: Продукти|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20grocery%20bag%20food?width=320&height=200&nologo=true">|DE A1 Food Shopping
das Schild|Вивіска, табличка, дорожній знак. (Увага: *der Schild* = щит воїна).|/ʃɪlt/|Noun|das|Pl: -er|Важливо розрізняти рід: *das Schild* (знак) - множина *Schilder*, *der Schild* (щит) - множина *Schilde*.|1. Das <b>Schild</b> zeigt den Weg.<br>2. Hast du das <b>Schild</b> nicht gesehen?<br>3. Auf dem <b>Schild</b> steht "Halt".|1. Знак показує дорогу.<br>2. Ти не бачив знаку?<br>3. На табличці написано "Стоп".|Походить від слова, що означало «розколювати» (дошка). Щит і знак робилися з дощок.|На *шильдику* (*Schild*) написано назву.|EN: Sign / Label<br>DE: Zeichen<br>RU: Вывеска / Знак<br>UA: Вивіска / Знак|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20road%20sign%20blank?width=320&height=200&nologo=true">|DE A2 Transport
das Mittel|Засіб, ліки; середнє. Те, що допомагає досягти мети, або щось середнє.|/ˈmɪtl̩/|Noun|das|Pl: -|*Mittel* проти чогось (ліки). *Im Mittel* (в середньому).|1. Hast du ein <b>Mittel</b> gegen Kopfschmerzen?<br>2. Der Zweck heiligt die <b>Mittel</b>.<br>3. Wir müssen einen Weg und ein <b>Mittel</b> finden.|1. У тебе є засіб (ліки) від головного болю?<br>2. Мета виправдовує засоби.<br>3. Ми повинні знайти шлях і засіб.|Від *mitte* (середина). Те, що стоїть посередині між тобою і ціллю (допомагає дістатися).|Це *мито* (*Mittel*), яке платиш, щоб отримати *засіб*.|EN: Means / Remedy<br>DE: Medikament / Werkzeug<br>RU: Средство<br>UA: Засіб / Ліки|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20pill%20bottle%20remedy?width=320&height=200&nologo=true">|DE B1 Health Abstract
die Reihe|Ряд, черга, серія. Послідовність об'єктів.|/ˈʁaɪ̯ə/|Noun|die|Pl: -n|*Du bist an der Reihe* = Твоя черга.|1. Ich sitze in der ersten <b>Reihe</b>.<br>2. Wer ist an der <b>Reihe</b>?<br>3. Eine <b>Reihe</b> von Fehlern.|1. Я сиджу в першому ряду.<br>2. Чия черга?<br>3. Серія (ряд) помилок.|Споріднене з англійським *row*. Первісне значення — лінія.|В *раю* (*Reihe*) всі стоять в один *ряд* за яблуками.|EN: Row / Turn / Series<br>DE: Linie / Serie<br>RU: Ряд / Очередь<br>UA: Ряд / Черга|<img src="https://image.pollinations.ai/prompt/minimalist%20flat%20vector%20chairs%20in%20a%20row?width=320&height=200&nologo=true">|DE A2 Order Sequence
